depth,subdomains,force_residual,mean
4,5,-7.677502044684675e-07,-0.7470151459018258
6,7,-4.7978113270046724e-08,-0.7470157229199599
8,9,-2.9986075736170015e-09,-0.7470158257080697
10,11,-1.8741288078730212e-10,-0.7470158222896812
12,13,-1.1713309142069583e-11,-0.7470158219459964
14,15,-7.320858329273872e-13,-0.7470158228674777
16,17,-4.575896953018521e-14,-0.7470158227773709
18,19,-2.8640284588377085e-15,-0.7470158227697162
