impl,dof,reps,best_ms,median_ms,mesh_ms,quad_ms,asm_ms,solve_ms
python,31,50,12.069375021383166,12.678124941885471,,,,
cpp,31,50,0.079,,0.0,0.009000000000000001,0.068,0.002
