# element i xi w x mat
0 0 -0.99470046749582497 0.01018217227940775 0.0039746493781312731 1
0 1 -0.9722875115366163 0.023345071476992999 0.020784366347537775 1
0 2 -0.93281560119391593 0.035684441880934871 0.05038829910456305 1
0 3 -0.87770220417750155 0.046735864220825249 0.091723346866873834 1
0 4 -0.80893812220132189 0.056098495806216384 0.14329640834900859 1
0 5 -0.72900838882861374 0.063433694773126131 0.20324370837853969 1
0 6 -0.64080177538962946 0.068476280641846493 0.26939866845777793 1
0 7 -0.54750625491881877 0.071043978920650869 0.33937030881088592 1
0 8 -0.45249374508118129 0.071043978920650869 0.41062969118911408 1
0 9 -0.35919822461037054 0.068476280641846493 0.48060133154222207 1
0 10 -0.27099161117138626 0.063433694773126131 0.54675629162146033 1
0 11 -0.19106187779867817 0.056098495806216384 0.60670359165099141 1
0 12 -0.1222977958224985 0.046735864220825249 0.65827665313312611 1
0 13 -0.067184398806084122 0.035684441880934871 0.69961170089543701 1
0 14 -0.0277124884633837 0.023345071476992999 0.72921563365246223 1
0 15 -0.0052995325041750307 0.01018217227940775 0.7460253506218687 1
0 16 0.0013248831260437577 0.0025455430698519375 0.7509936623445328 1
0 17 0.006928122115845925 0.0058362678692482498 0.7551960915868845 1
0 18 0.016796099701521031 0.0089211104702337177 0.7625970747761408 1
0 19 0.030574448955624625 0.011683966055206312 0.77293083671671847 1
0 20 0.047765469449669543 0.014024623951554096 0.78582410208725229 1
0 21 0.067747902792846565 0.015858423693281533 0.80081092709463486 1
0 22 0.089799556152592636 0.017119070160461623 0.81734966711444446 1
0 23 0.11312343627029532 0.017760994730162717 0.83484257720272148 1
0 24 0.13687656372970469 0.017760994730162717 0.85265742279727852 1
0 25 0.16020044384740736 0.017119070160461623 0.87015033288555554 1
0 26 0.18225209720715344 0.015858423693281533 0.88668907290536514 1
0 27 0.20223453055033047 0.014024623951554096 0.90167589791274794 1
0 28 0.21942555104437539 0.011683966055206312 0.91456916328328153 1
0 29 0.23320390029847898 0.0089211104702337177 0.9249029252238592 1
0 30 0.24307187788415408 0.0058362678692482498 0.9323039084131155 1
0 31 0.24867511687395624 0.0025455430698519375 0.9365063376554672 1
0 32 0.25033122078151093 0.00063638576746298438 0.9377484155861332 1
0 33 0.25173203052896148 0.0014590669673120624 0.93879902289672112 1
0 34 0.25419902492538027 0.0022302776175584294 0.9406492686940352 1
0 35 0.25764361223890619 0.0029209915138015781 0.94323270917917956 1
0 36 0.26194136736241741 0.003506155987888524 0.94645602552181307 1
0 37 0.26693697569821162 0.0039646059233203832 0.95020273177365877 1
